fecha,direccion,resultado,entry,pnl_bruto,fees,pnl_neto,capital
2022-06-14 01:15:00,LONG,STOP,22824.88,-16.8,0.2044,-17.0044,753.9956
2022-06-14 15:15:00,LONG,STOP,22468.69,-16.8,0.2044,-17.0044,736.9912
2022-06-15 08:45:00,LONG,TAKE,21134.68,25.2,0.2086,24.9914,761.9826
2022-06-15 14:30:00,LONG,TAKE,21496.99,25.2,0.2086,24.9914,786.974
2022-06-18 18:15:00,LONG,STOP,19298.51,-16.8,0.2044,-17.0044,769.9696
2022-06-19 04:30:00,LONG,TAKE,18634.45,25.2,0.2086,24.9914,794.961
2022-06-20 04:00:00,LONG,TAKE,20099.76,25.2,0.2086,24.9914,819.9524
2022-06-21 01:00:00,LONG,TAKE,20458.0,25.2,0.2086,24.9914,844.9438
2022-06-21 14:45:00,LONG,STOP,21494.33,-16.8,0.2044,-17.0044,827.9394
2022-06-23 14:45:00,LONG,TAKE,20300.96,25.2,0.2086,24.9914,852.9308
2022-06-26 06:45:00,LONG,TAKE,21135.6,25.2,0.2086,24.9914,877.9222
2022-07-02 23:45:00,LONG,STOP,19268.88,-16.8,0.2044,-17.0044,860.9178
2022-07-07 09:15:00,LONG,TAKE,20122.72,25.2,0.2086,24.9914,885.9092
2022-07-08 19:00:00,LONG,STOP,21895.45,-16.8,0.2044,-17.0044,868.9048
2022-07-09 21:30:00,LONG,STOP,21619.52,-16.8,0.2044,-17.0044,851.9004
2022-07-10 20:15:00,LONG,STOP,21082.63,-16.8,0.2044,-17.0044,834.896
2022-07-11 17:00:00,LONG,STOP,20546.5,-16.8,0.2044,-17.0044,817.8916
2022-07-12 14:15:00,LONG,STOP,19867.3,-16.8,0.2044,-17.0044,800.8872
2022-07-13 20:15:00,LONG,TAKE,19840.25,25.2,0.2086,24.9914,825.8786
2022-07-16 11:00:00,LONG,TAKE,20707.94,25.2,0.2086,24.9914,850.87
2022-07-17 12:45:00,LONG,STOP,21364.22,-16.8,0.2044,-17.0044,833.8656
2022-07-18 14:00:00,LONG,STOP,22168.65,-16.8,0.2044,-17.0044,816.8612
2022-07-19 10:00:00,LONG,TAKE,22005.22,25.2,0.2086,24.9914,841.8526
2022-07-20 08:30:00,LONG,TAKE,23369.36,25.2,0.2086,24.9914,866.844
2022-07-22 08:45:00,LONG,TAKE,23020.47,25.2,0.2086,24.9914,891.8354
2022-07-24 19:45:00,LONG,STOP,22736.4,-16.8,0.2044,-17.0044,874.831
2022-07-27 13:00:00,LONG,TAKE,21343.34,25.2,0.2086,24.9914,899.8224
2022-07-28 10:30:00,LONG,TAKE,22999.44,25.2,0.2086,24.9914,924.8138
2022-07-30 08:00:00,LONG,TAKE,23819.68,25.2,0.2086,24.9914,949.8052
2022-07-31 17:15:00,LONG,STOP,23735.46,-16.8,0.2044,-17.0044,932.8008
2022-08-01 12:30:00,LONG,STOP,23386.22,-16.8,0.2044,-17.0044,915.7964
2022-08-03 07:15:00,LONG,TAKE,22870.62,25.2,0.2086,24.9914,940.7878
2022-08-04 11:45:00,LONG,STOP,23041.19,-16.8,0.2044,-17.0044,923.7834
2022-08-08 02:00:00,LONG,TAKE,23102.7,25.2,0.2086,24.9914,948.7748
2022-08-11 02:30:00,LONG,TAKE,24023.0,25.2,0.2086,24.9914,973.7662
2022-08-12 22:15:00,LONG,TAKE,23987.25,25.2,0.2086,24.9914,998.7576
2022-08-15 02:15:00,LONG,STOP,24519.92,-16.8,0.2044,-17.0044,981.7532
2022-08-16 09:30:00,LONG,STOP,24177.55,-16.8,0.2044,-17.0044,964.7488
2022-08-17 08:45:00,LONG,STOP,23918.35,-16.8,0.2044,-17.0044,947.7444
2022-08-18 19:15:00,LONG,STOP,23406.43,-16.8,0.2044,-17.0044,930.74
2022-08-20 15:45:00,LONG,STOP,21249.13,-16.8,0.2044,-17.0044,913.7356
2022-08-21 15:45:00,LONG,TAKE,21159.4,25.2,0.2086,24.9914,938.727
2022-08-24 11:00:00,LONG,TAKE,21261.53,25.2,0.2086,24.9914,963.7184
2022-08-26 10:00:00,LONG,STOP,21533.86,-16.8,0.2044,-17.0044,946.714
2022-08-28 18:30:00,LONG,STOP,20030.07,-16.8,0.2044,-17.0044,929.7096
2022-08-29 23:30:00,LONG,TAKE,19944.86,25.2,0.2086,24.9914,954.701
2022-08-31 10:00:00,LONG,STOP,20295.93,-16.8,0.2044,-17.0044,937.6966
2022-09-01 09:45:00,LONG,STOP,20188.11,-16.8,0.2044,-17.0044,920.6922
2022-09-03 04:00:00,LONG,STOP,20138.08,-16.8,0.2044,-17.0044,903.6878
2022-09-06 12:00:00,LONG,STOP,19762.96,-16.8,0.2044,-17.0044,886.6834
2022-09-11 20:30:00,LONG,TAKE,21364.27,25.2,0.2086,24.9914,911.6748
2022-09-12 06:45:00,LONG,TAKE,21742.02,25.2,0.2086,24.9914,936.6662
2022-09-13 07:30:00,LONG,STOP,22311.09,-16.8,0.2044,-17.0044,919.6618
2022-09-15 09:30:00,LONG,STOP,20186.66,-16.8,0.2044,-17.0044,902.6574
2022-09-20 07:00:00,LONG,STOP,19469.38,-16.8,0.2044,-17.0044,885.653
2022-09-21 12:30:00,LONG,TAKE,18962.6,25.2,0.2086,24.9914,910.6444
2022-09-23 08:45:00,LONG,STOP,19030.7,-16.8,0.2044,-17.0044,893.64
2022-09-25 17:00:00,LONG,STOP,19089.85,-16.8,0.2044,-17.0044,876.6356
2022-09-26 20:15:00,LONG,TAKE,19044.24,25.2,0.2086,24.9914,901.627
2022-09-27 11:00:00,LONG,STOP,20163.95,-16.8,0.2044,-17.0044,884.6226
2022-09-28 10:15:00,LONG,TAKE,18921.92,25.2,0.2086,24.9914,909.614
2022-09-29 08:30:00,LONG,STOP,19506.37,-16.8,0.2044,-17.0044,892.6096
2022-09-29 13:00:00,LONG,STOP,19519.61,-16.8,0.2044,-17.0044,875.6052
2022-10-04 01:30:00,LONG,TAKE,19168.88,25.2,0.2086,24.9914,900.5966
2022-10-07 07:45:00,LONG,STOP,20029.24,-16.8,0.2044,-17.0044,883.5922
2022-10-10 11:15:00,LONG,STOP,19488.87,-16.8,0.2044,-17.0044,866.5878
2022-10-13 05:30:00,LONG,STOP,19109.3,-16.8,0.2044,-17.0044,849.5834
2022-10-13 13:45:00,LONG,TAKE,18920.67,25.2,0.2086,24.9914,874.5748
2022-10-14 09:15:00,LONG,STOP,19763.35,-16.8,0.2044,-17.0044,857.5704
2022-10-21 07:00:00,LONG,STOP,19194.12,-16.8,0.2044,-17.0044,840.566
2022-10-23 17:00:00,LONG,TAKE,19075.96,25.2,0.2086,24.9914,865.5574
2022-10-27 15:15:00,LONG,STOP,20728.13,-16.8,0.2044,-17.0044,848.553
2022-10-31 08:45:00,LONG,STOP,20789.23,-16.8,0.2044,-17.0044,831.5486
2022-11-02 14:15:00,LONG,STOP,20482.28,-16.8,0.2044,-17.0044,814.5442
2022-11-04 08:15:00,LONG,TAKE,20277.95,25.2,0.2086,24.9914,839.5356
2022-11-07 17:15:00,LONG,STOP,20961.52,-16.8,0.2044,-17.0044,822.5312
2022-11-10 08:30:00,LONG,TAKE,16677.64,25.2,0.2086,24.9914,847.5226
2022-11-11 09:15:00,LONG,STOP,17365.53,-16.8,0.2044,-17.0044,830.5182
2022-11-13 04:00:00,LONG,STOP,16858.89,-16.8,0.2044,-17.0044,813.5138
2022-11-15 08:30:00,LONG,TAKE,16614.21,25.2,0.2086,24.9914,838.5052
2022-11-16 08:45:00,LONG,STOP,16847.36,-16.8,0.2044,-17.0044,821.5008
2022-11-20 16:45:00,LONG,STOP,16636.27,-16.8,0.2044,-17.0044,804.4964
2022-11-27 20:30:00,LONG,STOP,16494.75,-16.8,0.2044,-17.0044,787.492
2022-11-29 19:30:00,LONG,TAKE,16278.94,25.2,0.2086,24.9914,812.4834
2022-12-04 23:45:00,LONG,TAKE,16846.22,25.2,0.2086,24.9914,837.4748
2022-12-13 04:45:00,LONG,TAKE,16973.48,25.2,0.2086,24.9914,862.4662
2022-12-19 17:30:00,LONG,STOP,16710.96,-16.8,0.2044,-17.0044,845.4618
2022-12-28 16:15:00,LONG,STOP,16838.04,-16.8,0.2044,-17.0044,828.4574
2023-01-06 15:15:00,LONG,TAKE,16522.15,25.2,0.2086,24.9914,853.4488
2023-01-11 18:30:00,LONG,TAKE,17253.45,25.2,0.2086,24.9914,878.4402
2023-01-17 09:15:00,LONG,TAKE,20900.37,25.2,0.2086,24.9914,903.4316
2023-01-18 11:00:00,LONG,STOP,21241.76,-16.8,0.2044,-17.0044,886.4272
2023-01-20 11:45:00,LONG,TAKE,20766.3,25.2,0.2086,24.9914,911.4186
2023-01-25 16:45:00,LONG,TAKE,22730.13,25.2,0.2086,24.9914,936.41
2023-01-26 20:30:00,LONG,STOP,23074.72,-16.8,0.2044,-17.0044,919.4056
2023-01-29 13:30:00,LONG,TAKE,22988.85,25.2,0.2086,24.9914,944.397
2023-02-01 16:15:00,LONG,TAKE,23075.1,25.2,0.2086,24.9914,969.3884
2023-02-02 17:00:00,LONG,STOP,23853.04,-16.8,0.2044,-17.0044,952.384
2023-02-05 07:45:00,LONG,STOP,23487.06,-16.8,0.2044,-17.0044,935.3796
2023-02-08 22:00:00,LONG,STOP,22913.86,-16.8,0.2044,-17.0044,918.3752
2023-02-13 12:45:00,LONG,STOP,21830.53,-16.8,0.2044,-17.0044,901.3708
2023-02-16 17:30:00,LONG,STOP,24721.05,-16.8,0.2044,-17.0044,884.3664
2023-02-21 11:15:00,LONG,STOP,24862.0,-16.8,0.2044,-17.0044,867.362
2023-02-24 10:30:00,LONG,STOP,23927.23,-16.8,0.2044,-17.0044,850.3576
2023-02-27 08:30:00,LONG,TAKE,23029.91,25.2,0.2086,24.9914,875.349
2023-03-02 20:15:00,LONG,STOP,23394.26,-16.8,0.2044,-17.0044,858.3446
2023-03-07 10:00:00,LONG,STOP,22459.5,-16.8,0.2044,-17.0044,841.3402
2023-03-08 18:00:00,LONG,STOP,22067.03,-16.8,0.2044,-17.0044,824.3358
2023-03-10 20:30:00,LONG,TAKE,19964.95,25.2,0.2086,24.9914,849.3272
2023-03-12 12:15:00,LONG,TAKE,20099.97,25.2,0.2086,24.9914,874.3186
2023-03-13 09:15:00,LONG,TAKE,22394.9,25.2,0.2086,24.9914,899.31
2023-03-15 06:15:00,LONG,STOP,24794.37,-16.8,0.2044,-17.0044,882.3056
2023-03-15 09:30:00,LONG,STOP,24975.07,-16.8,0.2044,-17.0044,865.3012
2023-03-16 20:15:00,LONG,TAKE,24536.62,25.2,0.2086,24.9914,890.2926
2023-03-17 16:30:00,LONG,TAKE,26423.73,25.2,0.2086,24.9914,915.284
2023-03-19 11:45:00,LONG,TAKE,27339.33,25.2,0.2086,24.9914,940.2754
2023-03-22 09:45:00,LONG,TAKE,27826.0,25.2,0.2086,24.9914,965.2668
2023-03-23 10:00:00,LONG,TAKE,27559.44,25.2,0.2086,24.9914,990.2582
2023-03-27 10:00:00,LONG,STOP,27423.71,-16.8,0.2044,-17.0044,973.2538
2023-03-29 01:15:00,LONG,TAKE,27027.07,25.2,0.2086,24.9914,998.2452
2023-03-30 11:15:00,LONG,STOP,28621.42,-16.8,0.2044,-17.0044,981.2408
2023-04-03 15:45:00,LONG,STOP,28115.53,-16.8,0.2044,-17.0044,964.2364
2023-04-10 11:45:00,LONG,TAKE,28170.54,25.2,0.2086,24.9914,989.2278
2023-04-13 20:45:00,LONG,TAKE,29956.27,25.2,0.2086,24.9914,1014.2192
2023-04-19 03:00:00,LONG,STOP,30161.08,-16.8,0.2044,-17.0044,997.2148
2023-04-24 11:45:00,LONG,STOP,27619.28,-16.8,0.2044,-17.0044,980.2104
2023-04-25 16:00:00,LONG,TAKE,27351.23,25.2,0.2086,24.9914,1005.2018
2023-04-30 20:45:00,LONG,STOP,29120.44,-16.8,0.2044,-17.0044,988.1974
2023-05-04 05:30:00,LONG,TAKE,28520.35,25.2,0.2086,24.9914,1013.1888
2023-05-06 09:00:00,LONG,STOP,29118.58,-16.8,0.2044,-17.0044,996.1844
2023-05-10 12:15:00,LONG,STOP,27572.9,-16.8,0.2044,-17.0044,979.18
2023-05-11 08:45:00,LONG,STOP,27722.91,-16.8,0.2044,-17.0044,962.1756
2023-05-17 06:30:00,LONG,STOP,27167.16,-16.8,0.2044,-17.0044,945.1712
2023-05-24 08:45:00,LONG,STOP,26897.13,-16.8,0.2044,-17.0044,928.1668
2023-05-31 00:00:00,LONG,STOP,27742.75,-16.8,0.2044,-17.0044,911.1624
2023-06-05 10:15:00,LONG,STOP,27037.9,-16.8,0.2044,-17.0044,894.158
2023-06-06 12:15:00,LONG,TAKE,25861.86,25.2,0.2086,24.9914,919.1494
2023-06-07 16:45:00,LONG,STOP,26764.98,-16.8,0.2044,-17.0044,902.145
2023-06-09 23:15:00,LONG,STOP,26418.88,-16.8,0.2044,-17.0044,885.1406
2023-06-14 15:30:00,LONG,STOP,25740.97,-16.8,0.2044,-17.0044,868.1362
2023-06-16 12:45:00,LONG,TAKE,25560.79,25.2,0.2086,24.9914,893.1276
2023-06-20 12:45:00,LONG,TAKE,26854.17,25.2,0.2086,24.9914,918.119
2023-06-22 09:30:00,LONG,STOP,30139.61,-16.8,0.2044,-17.0044,901.1146
2023-06-23 10:30:00,LONG,TAKE,30085.0,25.2,0.2086,24.9914,926.106
2023-06-30 08:45:00,LONG,STOP,30423.0,-16.8,0.2044,-17.0044,909.1016
2023-07-03 14:15:00,LONG,TAKE,30430.76,25.2,0.2086,24.9914,934.093
2023-07-06 04:00:00,LONG,TAKE,30508.99,25.2,0.2086,24.9914,959.0844
2023-07-13 12:45:00,LONG,TAKE,30280.34,25.2,0.2086,24.9914,984.0758
2023-07-17 13:45:00,LONG,STOP,30270.27,-16.8,0.2044,-17.0044,967.0714
2023-07-18 11:45:00,LONG,STOP,30182.1,-16.8,0.2044,-17.0044,950.067
2023-08-01 10:30:00,LONG,STOP,29251.92,-16.8,0.2044,-17.0044,933.0626
2023-08-01 19:15:00,LONG,TAKE,28957.43,25.2,0.2086,24.9914,958.054
2023-08-08 15:15:00,LONG,TAKE,29087.12,25.2,0.2086,24.9914,983.0454
2023-08-16 19:30:00,LONG,STOP,29161.56,-16.8,0.2044,-17.0044,966.041
2023-08-22 16:15:00,LONG,STOP,26189.09,-16.8,0.2044,-17.0044,949.0366
2023-08-29 09:15:00,LONG,TAKE,25972.95,25.2,0.2086,24.9914,974.028
2023-09-11 09:00:00,LONG,STOP,25808.29,-16.8,0.2044,-17.0044,957.0236
2023-09-18 07:30:00,LONG,TAKE,26580.14,25.2,0.2086,24.9914,982.015
2023-09-21 07:30:00,LONG,STOP,27134.02,-16.8,0.2044,-17.0044,965.0106
2023-09-24 19:15:00,LONG,STOP,26606.75,-16.8,0.2044,-17.0044,948.0062
2023-09-28 10:45:00,LONG,TAKE,26187.52,25.2,0.2086,24.9914,972.9976
2023-10-06 16:30:00,LONG,TAKE,27388.39,25.2,0.2086,24.9914,997.989
2023-10-09 11:15:00,LONG,STOP,27900.17,-16.8,0.2044,-17.0044,980.9846
2023-10-11 11:00:00,LONG,STOP,27230.87,-16.8,0.2044,-17.0044,963.9802
2023-10-16 00:15:00,LONG,TAKE,26777.58,25.2,0.2086,24.9914,988.9716
2023-10-23 00:15:00,LONG,TAKE,29978.91,25.2,0.2086,24.9914,1013.963
2023-10-23 15:15:00,LONG,TAKE,30638.6,25.2,0.2086,24.9914,1038.9544
2023-10-24 10:30:00,LONG,STOP,34049.55,-16.8,0.2044,-17.0044,1021.95
2023-10-25 11:00:00,LONG,TAKE,34044.74,25.2,0.2086,24.9914,1046.9414
2023-10-26 06:45:00,LONG,STOP,34666.42,-16.8,0.2044,-17.0044,1029.937
2023-10-27 12:00:00,LONG,STOP,34107.95,-16.8,0.2044,-17.0044,1012.9326
2023-11-01 08:15:00,LONG,TAKE,34079.28,25.2,0.2086,24.9914,1037.924
2023-11-03 03:45:00,LONG,STOP,34930.01,-16.8,0.2044,-17.0044,1020.9196
2023-11-07 14:00:00,LONG,TAKE,34501.66,25.2,0.2086,24.9914,1045.911
2023-11-13 16:00:00,LONG,STOP,37230.51,-16.8,0.2044,-17.0044,1028.9066
2023-11-19 18:00:00,LONG,TAKE,36320.48,25.2,0.2086,24.9914,1053.898
2023-11-21 10:00:00,LONG,STOP,37169.98,-16.8,0.2044,-17.0044,1036.8936
2023-11-21 17:30:00,LONG,STOP,37247.36,-16.8,0.2044,-17.0044,1019.8892
2023-11-22 16:00:00,LONG,TAKE,36522.38,25.2,0.2086,24.9914,1044.8806
2023-11-29 04:45:00,LONG,TAKE,37322.66,25.2,0.2086,24.9914,1069.872
2023-12-01 11:30:00,LONG,TAKE,37730.39,25.2,0.2086,24.9914,1094.8634
2023-12-05 12:00:00,LONG,TAKE,41566.71,25.2,0.2086,24.9914,1119.8548
2023-12-07 04:15:00,LONG,STOP,43816.09,-16.8,0.2044,-17.0044,1102.8504
2023-12-10 21:00:00,LONG,STOP,44005.5,-16.8,0.2044,-17.0044,1085.846
2023-12-13 14:00:00,LONG,TAKE,41116.01,25.2,0.2086,24.9914,1110.8374
2023-12-15 08:30:00,LONG,STOP,43190.29,-16.8,0.2044,-17.0044,1093.833
2023-12-24 17:15:00,LONG,STOP,43552.72,-16.8,0.2044,-17.0044,1076.8286
2023-12-28 09:45:00,LONG,STOP,43385.98,-16.8,0.2044,-17.0044,1059.8242
2024-01-01 13:15:00,LONG,TAKE,41929.65,25.2,0.2086,24.9914,1084.8156
2024-01-04 10:30:00,LONG,TAKE,42949.92,25.2,0.2086,24.9914,1109.807
2024-01-08 07:00:00,LONG,TAKE,43826.17,25.2,0.2086,24.9914,1134.7984
2024-01-09 07:45:00,LONG,STOP,46723.89,-16.8,0.2044,-17.0044,1117.794
2024-01-09 16:15:00,LONG,STOP,46740.33,-16.8,0.2044,-17.0044,1100.7896
2024-01-10 18:00:00,LONG,TAKE,45854.11,25.2,0.2086,24.9914,1125.781
2024-01-12 09:30:00,LONG,STOP,46245.33,-16.8,0.2044,-17.0044,1108.7766
2024-01-14 16:30:00,LONG,STOP,42888.51,-16.8,0.2044,-17.0044,1091.7722
2024-01-18 11:45:00,LONG,STOP,42612.59,-16.8,0.2044,-17.0044,1074.7678
2024-01-19 11:30:00,LONG,STOP,41310.29,-16.8,0.2044,-17.0044,1057.7634
2024-01-22 00:00:00,LONG,STOP,41547.39,-16.8,0.2044,-17.0044,1040.759
2024-01-22 13:45:00,LONG,STOP,41081.52,-16.8,0.2044,-17.0044,1023.7546
2024-01-26 06:30:00,LONG,TAKE,40109.64,25.2,0.2086,24.9914,1048.746
2024-01-29 20:00:00,LONG,TAKE,42145.54,25.2,0.2086,24.9914,1073.7374
2024-01-31 05:45:00,LONG,STOP,43412.03,-16.8,0.2044,-17.0044,1056.733
2024-01-31 20:30:00,LONG,STOP,42796.32,-16.8,0.2044,-17.0044,1039.7286
